attack_directory,final_impact_location,attack_unit,variant_index,original_server_name,labelled_variant_directory
Backdoor Attack,Execution,BackdoorAttack,01,2niuhe_qrcode_mcp,2niuhe_qrcode_mcp
Backdoor Attack,Execution,BackdoorAttack,02,akseyh_bear-mcp-server,akseyh_bear-mcp-server
Backdoor Attack,Execution,BackdoorAttack,03,aviban15_multi-mcp-agent,aviban15_multi-mcp-agent
Backdoor Attack,Execution,BackdoorAttack,04,giuseppe-coco_Google-Workspace-MCP-Server,giuseppe-coco_Google-Workspace-MCP-Server
Backdoor Attack,Execution,BackdoorAttack,05,gpaw-computation,gpaw-computation
Backdoor Attack,Execution,BackdoorAttack,06,graphiti-mcp,graphiti-mcp
Backdoor Attack,Execution,BackdoorAttack,07,itisaevalex_financial-reports-mcp-server,itisaevalex_financial-reports-mcp-server
Backdoor Attack,Execution,BackdoorAttack,08,movva09_Agent-MCP-Math-Email,movva09_Agent-MCP-Math-Email
Backdoor Attack,Execution,BackdoorAttack,09,ruliana_mcp-pkm-logseq,ruliana_mcp-pkm-logseq
Backdoor Attack,Execution,BackdoorAttack,10,sujithadr_MCP-RAG,sujithadr_MCP-RAG
Backdoor Attack,Execution,Backdoor,11,securityfortech_secops-mcp,securityfortech_secops-mcp
Backdoor Attack,Execution,Backdoor,12,Darkroaster_pubmed-MCP-server,Darkroaster_pubmed-MCP-server
Command Injection Attack,Execution,CommandInjection,01,ahujasid_blender-mcp,ahujasid_blender-mcp
Command Injection Attack,Execution,CommandInjection,02,alpacahq_alpaca-mcp-server,alpacahq_alpaca-mcp-server
Command Injection Attack,Execution,CommandInjection,03,carterlasalle_system_information_mcp,carterlasalle_system_information_mcp
Command Injection Attack,Execution,CommandInjection,04,ffpy_my-mcp-ssh,ffpy_my-mcp-ssh
Command Injection Attack,Execution,CommandInjection,05,m-ahmed-elbeskeri_UltimateCoderMCP,m-ahmed-elbeskeri_UltimateCoderMCP
Command Injection Attack,Execution,CommandInjection,06,mathematica-check,mathematica-check
Command Injection Attack,Execution,CommandInjection,07,stat-guy_terminal,stat-guy_terminal
